"Stem","Orders_Sum","WordsOfStem_Visits","StemC"
"167","21","simpl solut(167)","simpl solut"
"165","16","beta puppi(165)","beta puppi"
"165","19","iam wet(165)","iam wet"
"164","14","dog ramp(164)","dog ramp"
"163","18","clump cat litter(163)","clump cat litter"
"163","69","hill prescript diet(163)","hill prescript diet"
"163","4","rotastak(163)","rotastak"
"162","8","car(162)","car"
"162","8","dog brush(162)","dog brush"
"162","28","puppi treat(162)","puppi treat"
"162","1","tank(162)","tank"
"161","33","butcher(161)","butcher"
"161","9","pro plan dog(161)","pro plan dog"
"161","20","worm(161)","worm"
"160","6","bowl(160)","bowl"
"160","6","cat scratch post(160)","cat scratch post"
"160","4","fluval filter(160)","fluval filter"
"160","27","forthglad(160)","forthglad"
"159","9","cat har(159)","cat har"
"159","13","dog blanket(159)","dog blanket"
"159","23","gourmet(159)","gourmet"
"158","14","ear cleaner dog(158)","ear cleaner dog"
"158","12","shampoo(158)","shampoo"
"158","8","water fountain(158)","water fountain"
"156","6","cat tunnel(156)","cat tunnel"
"156","6","clicker(156)","clicker"
"156","3","dog gate(156)","dog gate"
"155","21","hilif(155)","hilif"
"154","17","gourmet cat food(154)","gourmet cat food"
"154","9","light(154)","light"
"153","13","flea collar(153)","flea collar"
"153","2","heat lamp(153)","heat lamp"
"151","6","aqua one(151)","aqua one"
"151","4","cat tree(151)","cat tree"
"151","4","pen(151)","pen"
"150","1","groom(150)","groom"
"150","6","scratch post(150)","scratch post"
"149","19","cat treat(149)","cat treat"
"149","5","crate(149)","crate"
"149","4","hamster toy(149)","hamster toy"
"149","8","ramp(149)","ramp"
"149","50","royal canin renal(149)","royal canin renal"
"148","1","leopard gecko(148)","leopard gecko"
"148","7","panacur(148)","panacur"
"148","12","puppi milk(148)","puppi milk"
"147","25","grain free dog(147)","grain free dog"
"147","3","hamster toy(147)","hamster toy"
"147","20","natur menu frozen(147)","natur menu frozen"
"147","10","urin(147)","urin"
"146","16","water bowl(146)","water bowl"
"145","4","eye drop(145)","eye drop"
"145","9","raw food(145)","raw food"
"145","19","sunflow heart(145)","sunflow heart"
"144","21","advanc nutrit(144)","advanc nutrit"
"144","9","gingerbread(144)","gingerbread"
"144","6","urin destroy(144)","urin destroy"
"144","25","vet kitchen(144)","vet kitchen"
"143","1","dog kennel(143)","dog kennel"
"143","2","tramp thermal(143)","tramp thermal"
"142","1","fish bowl(142)","fish bowl"
"142","1","microchip(142)","microchip"
"141","6","antler(141)","antler"
"141","7","beta dog food(141)","beta dog food"
"141","3","drontal worm(141)","drontal worm"
"141","13","hamster bed(141)","hamster bed"
"141","2","hutch(141)","hutch"
"141","17","toothpast(141)","toothpast"
"141","26","wainwright puppi(141)","wainwright puppi"
"140","9","exo terra(140)","exo terra"
"140","16","toothbrush(140)","toothbrush"
"139","21","baker complet(139)","baker complet"
"139","23","dog ball(139)","dog ball"
"139","12","love fish(139)","love fish"
"138","32","inflat vet collar(138)","inflat vet collar"
"138","12","storag(138)","storag"
"137","24","christma dog treat(137)","christma dog treat"
"137","22","hi life(137)","hi life"
"136","0","budgi(136)","budgi"
"136","10","excel(136)","excel"
"136","8","guinea pig hutch(136)","guinea pig hutch"
"136","39","hill metabol(136)","hill metabol"
"136","17","tripe(136)","tripe"
"135","61","seraquin(135)","seraquin"
"134","1","bed(134)","bed"
"134","1","fish tank decor(134)","fish tank decor"
"134","11","hammock(134)","hammock"
"133","25","advanc nutrit dog(133)","advanc nutrit dog"
"132","7","car seat cover(132)","car seat cover"
"132","8","clipper(132)","clipper"
"132","4","dog muzzl(132)","dog muzzl"
"131","12","hill prescript diet dog treat(131)","hill prescript diet dog treat"
"131","3","parrot(131)","parrot"
"131","8","royal canin puppi(131)","royal canin puppi"
"130","2","dog guard(130)","dog guard"
"130","8","snugglesaf(130)","snugglesaf"
"129","3","dog flap(129)","dog flap"
"129","10","heat pad(129)","heat pad"
"129","28","royal canin chihuahua(129)","royal canin chihuahua"
"129","45","royal canin hypoallergen(129)","royal canin hypoallergen"
"128","15","ball(128)","ball"
"128","21","bluebel(128)","bluebel"
"128","19","disinfect(128)","disinfect"
"128","0","fish fish(128)","fish fish"
"128","50","hill zd(128)","hill zd"
"128","23","natur menu dog(128)","natur menu dog"
"128","6","rosewood(128)","rosewood"
"127","36","dental stick(127)","dental stick"
"127","15","joint care(127)","joint care"
"126","5","advantag flea control(126)","advantag flea control"
