"Visits_sum","Orders_Sum","WordsOfStem_Visits"
"154","9","light(154)"
"153","13","flea collar(153)"
"153","2","heat lamp(153)"
"151","6","aqua one(151)"
"151","4","cat tree(151)"
"151","4","pen(151)"
"150","1","groom(150)"
"150","6","scratch post(150)"
"149","19","cat treat(149)"
"149","5","crate(149)"
"149","4","hamster toy(149)"
"149","8","ramp(149)"
"149","50","royal canin renal(149)"
"148","1","leopard gecko(148)"
"148","7","panacur(148)"
"148","12","puppi milk(148)"
"147","25","grain free dog(147)"
"147","3","hamster toy(147)"
"147","20","natur menu frozen(147)"
"147","10","urin(147)"
"146","16","water bowl(146)"
"145","4","eye drop(145)"
"145","9","raw food(145)"
"145","19","sunflow heart(145)"
"144","21","advanc nutrit(144)"
"144","9","gingerbread(144)"
"144","6","urin destroy(144)"
"144","25","vet kitchen(144)"
"143","1","dog kennel(143)"
"143","2","tramp thermal(143)"
"142","1","fish bowl(142)"
"142","1","microchip(142)"
"141","6","antler(141)"
"141","7","beta dog food(141)"
"141","3","drontal worm(141)"
"141","13","hamster bed(141)"
"141","2","hutch(141)"
"141","17","toothpast(141)"
"141","26","wainwright puppi(141)"
"140","9","exo terra(140)"
"140","16","toothbrush(140)"
"139","21","baker complet(139)"
"139","23","dog ball(139)"
"139","12","love fish(139)"
"138","32","inflat vet collar(138)"
"138","12","storag(138)"
"137","24","christma dog treat(137)"
"137","22","hi life(137)"
"136","0","budgi(136)"
"136","10","excel(136)"
"136","8","guinea pig hutch(136)"
"136","39","hill metabol(136)"
"136","17","tripe(136)"
"135","61","seraquin(135)"
"134","1","bed(134)"
"134","1","fish tank decor(134)"
"134","11","hammock(134)"
"133","25","advanc nutrit dog(133)"
"132","7","car seat cover(132)"
"132","8","clipper(132)"
"132","4","dog muzzl(132)"
"131","12","hill prescript diet dog treat(131)"
"131","3","parrot(131)"
"131","8","royal canin puppi(131)"
"130","2","dog guard(130)"
"130","8","snugglesaf(130)"
"129","3","dog flap(129)"
"129","10","heat pad(129)"
"129","28","royal canin chihuahua(129)"
"129","45","royal canin hypoallergen(129)"
"128","15","ball(128)"
"128","21","bluebel(128)"
"128","19","disinfect(128)"
"128","0","fish fish(128)"
"128","50","hill zd(128)"
"128","23","natur menu dog(128)"
"128","6","rosewood(128)"
"127","36","dental stick(127)"
"127","15","joint care(127)"
"126","5","advantag flea control(126)"
"126","8","cat bowl(126)"
"126","27","thrive(126)"
"126","12","yeowww(126)"
"125","3","car har(125)"
"125","1","hamster home(125)"
"125","5","heat(125)"
"124","6","cat shampoo(124)"
"124","18","senior dog food(124)"
"123","20","cat nip(123)"
"123","9","chihuahua(123)"
"123","8","gourmet cat(123)"
"123","12","pettex cat litter(123)"
"123","1","terrapin(123)"
"122","0","gold fish(122)"
"122","6","nail clipper(122)"
"122","2","thermostat(122)"
"121","7","naturediet(121)"
"121","0","turtl(121)"
"120","12","puppi train pad(120)"
"119","5","cat feeder(119)"
"119","20","dog bone(119)"
"119","6","jumper(119)"
"119","11","proplan(119)"
"119","4","puppi har(119)"
"119","7","rabbit bed(119)"
"119","3","rabbit run(119)"
"119","16","scienc plan hill(119)"
"118","19","bark head dog(118)"
"118","5","dog car har(118)"
"118","19","webbox(118)"
"117","21","arden grang puppi(117)"
"117","31","dental chew(117)"
"117","15","harrington dog(117)"
"117","13","wainwright christma(117)"
"116","7","fleec(116)"
"116","14","hypoallergen dog food(116)"
"116","21","sleepeazi(116)"
"115","9","treat ball(115)"
"114","9","cat flea(114)"
"114","5","dog bed(114)"
"114","5","ezydog(114)"
"114","5","har dog har(114)"
"114","18","sheba cat food(114)"
"113","4","dog pen(113)"
"113","11","plaqu off(113)"
"113","20","poo bag(113)"
"113","14","whimze(113)"
"112","6","bird feeder(112)"
"112","9","gingerbread man(112)"
"112","16","pooch and mutt(112)"
"112","22","royal canin sensibl(112)"
"112","10","treat bag(112)"
"111","7","cat brush(111)"
"111","6","cat scratcher(111)"
"111","18","chudley(111)"
"111","1","dog kennel(111)"
"111","28","whiska pouch(111)"
"110","11","anxieti(110)"
"110","8","automat feeder(110)"
"110","3","fish tank filter(110)"
"110","8","greyhound(110)"
"110","7","hay rack(110)"
"110","19","woodland(110)"
"109","7","collar dog(109)"
"109","13","crate mat(109)"
"109","9","memori foam(109)"
"109","19","wainwright dog food(109)"
"108","11","cleaner(108)"
"108","7","dog sock(108)"
"108","7","ear(108)"
"108","14","fishmong finest(108)"
"108","2","microchip cat flap(108)"
"108","5","rabbit toy(108)"
"107","5","cat collar(107)"
"107","28","jumbon(107)"
"107","8","memori foam bed(107)"
"107","0","scienc plan urinari cat(107)"
"106","1","chameleon(106)"
"106","0","dog clipper(106)"
"106","4","dog whistl(106)"
"106","6","ear cleaner(106)"
"106","16","french bulldog(106)"
"106","1","lizard(106)"
"106","15","mat(106)"
"106","23","renal(106)"
"105","10","dog towel(105)"
"105","8","substrat(105)"
"104","17","applaw dog food(104)"
"104","5","bandana(104)"
"104","8","teeth(104)"
"104","23","winalot(104)"
"103","3","birthday cake(103)"
"103","16","dog mat(103)"
"103","3","interpet(103)"
"102","7","cat grass(102)"
"102","17","guinea pig food(102)"
"101","6","anti bark collar(101)"
"101","7","grain free dog food(101)"
"101","5","odour remov(101)"
"101","10","reflect(101)"
"100","5","beaphar(100)"
"100","4","dog food storag(100)"
"100","24","gastro intestin(100)"
"100","5","plaqueoff(100)"
"100","18","reindeer(100)"
"100","37","royal canin urinari(100)"
"100","0","vet(100)"
"99","3","bird feeder(99)"
"99","3","brush(99)"
"99","9","tap safe(99)"
"99","1","terrarium(99)"
"98","2","air stone(98)"
"98","15","cat blanket(98)"
"98","4","christma card(98)"
"98","10","christma stock(98)"
"98","3","dog reflect(98)"
"98","16","duck(98)"
"98","10","probiot(98)"
"98","5","travel(98)"
"98","24","wafcol(98)"
"98","14","wipe(98)"
"97","14","chinchilla sand(97)"
"97","6","dog boot(97)"
"97","4","dog light(97)"
"97","4","dog nappi(97)"
"97","8","food bowl(97)"
"97","5","get off(97)"
"97","12","hill prescript cat(97)"
"97","0","tank(97)"
"96","9","charcoal(96)"
"96","7","flea tablet(96)"
"96","19","royal canin light(96)"
"96","10","tag(96)"
"95","10","calm(95)"
"95","0","fish tank heater(95)"
"95","8","laser(95)"
"95","1","run(95)"
"94","6","boot(94)"
"94","8","cat bowl(94)"
"94","7","felliway(94)"
"94","5","ferplast(94)"
"94","9","memori foam dog(94)"
"94","0","pet gate(94)"
"94","4","tube(94)"
"94","11","yumov dog(94)"
"93","3","advent calendar christma(93)"
"93","1","calend(93)"
"93","15","christma dog toy(93)"
"93","3","coat(93)"
"93","7","elizabethan collar(93)"
"93","25","renal cat food(93)"
"93","18","royal canin pug(93)"
"93","2","tortois tabl(93)"
"93","16","whiska cat(93)"
"92","10","beta puppi food(92)"
"92","0","corn snake(92)"
"92","4","fish tank pump(92)"
"92","1","gerbil cage(92)"
"92","9","glucosamin(92)"
"92","4","gourmet perl(92)"
"92","6","tag(92)"
"91","10","ball thrower(91)"
"91","32","metabol(91)"
"90","9","bird food(90)"
"90","4","catit(90)"
"90","6","fountain(90)"
"90","2","kennel(90)"
"90","25","main coon(90)"
"90","8","salmon oil(90)"
"90","10","sensit dog food(90)"
"90","6","whisker(90)"
"89","7","dog ear cleaner(89)"
"89","9","food storag contain(89)"
"89","16","misfit(89)"
"89","14","mixer(89)"
"89","11","poop(89)"
"88","5","advent caland(88)"
"88","11","dog beer(88)"
"88","7","dog jacket(88)"
"88","18","hill prescript diet cat treat(88)"
"88","4","natur best(88)"
"88","11","rabbit litter(88)"
"87","7","bowl dog(87)"
"87","4","crate dog(87)"
"87","20","dental(87)"
"87","4","dog calm(87)"
"87","4","flash dog collar(87)"
"87","12","good boy(87)"
"87","24","hill id(87)"
"87","1","muzzl dog muzzl(87)"
"87","0","syrian hamster(87)"
"87","17","treat(87)"
"86","0","castl(86)"
"86","13","royal canin labrador(86)"
"86","1","scratch post cat(86)"
"86","5","spot on(86)"
"86","8","wainwright 15kg dog(86)"
"86","13","yumega(86)"
"85","8","boutiqu luxuri(85)"
"85","3","flash collar(85)"
"85","11","gravi(85)"
"85","4","rabbit litter tray(85)"
"85","4","royal canin mini adult(85)"
"85","8","teddi(85)"
"84","5","advent calendar(84)"
"84","2","agil(84)"
"84","5","beta food(84)"
"84","1","crest gecko(84)"
"84","13","light up ball(84)"
"84","30","marki(84)"
"84","12","scienc plan felin(84)"
"84","9","vet collar(84)"
"83","10","cod liver oil(83)"
"83","3","dog seat belt(83)"
"83","12","hairbal(83)"
"83","15","mealworm(83)"
"83","4","repelz dog coat(83)"
"83","4","roma 125 cabinet(83)"
"83","6","step(83)"
"83","4","waterproof bed(83)"
"83","8","wet dog food(83)"
"83","11","wrap paper(83)"
"82","9","bow tie(82)"
"82","11","christma pud(82)"
"82","5","flexi lead(82)"
"82","14","johnson(82)"
"82","14","kitten milk(82)"
"82","6","raw(82)"
"82","2","waterproof dog coat(82)"
"81","6","calm tablet(81)"
"81","3","cat basket(81)"
"81","15","parrot food(81)"
"81","5","radiat bed(81)"
"80","15","christma toy(80)"
"80","11","clean(80)"
"80","10","coconut(80)"
"80","5","flea powder(80)"
"80","8","food contain(80)"
"80","5","hamster treat(80)"
"80","7","pet corrector(80)"
"80","7","scratch(80)"
"80","9","spray(80)"
"80","12","teddi oval bed(80)"
"80","10","yumov dog joint(80)"
"79","7","anti gulp bowl(79)"
"79","17","arden grang cat(79)"
"79","13","dog bone(79)"
"79","11","dog step(79)"
"79","3","hill prescript dog(79)"
"79","18","hypoallergen(79)"
"79","0","train lead(79)"
"79","20","wafcol dog food(79)"
"78","16","countri hunter(78)"
"78","17","dri cat food(78)"
"78","10","felix senior(78)"
"78","4","hedgehog hous(78)"
"78","10","monkey(78)"
"78","4","muzzl dog(78)"
"78","0","pet(78)"
"78","2","uvb(78)"
"78","7","whelp box(78)"
"77","6","adaptil refil(77)"
"77","3","dog har(77)"
"77","8","dog rock(77)"
"77","2","half check collar(77)"
"77","4","pet carrier(77)"
"77","6","pure(77)"
"77","6","sensit(77)"
"77","9","slow feeder(77)"
"77","5","wormer(77)"
"76","0","advent calendar cat(76)"
"76","13","bark head puppi(76)"
"76","5","car seat(76)"
"76","7","cat toy(76)"
"76","8","ear drop dog(76)"
"76","2","flea bomb(76)"
"76","13","peanut butter(76)"
"76","13","placemat(76)"
"76","11","ruffer tuffer(76)"
"76","12","scoop(76)"
"75","1","bird cage(75)"
"75","0","bird tabl(75)"
"75","1","cat hous(75)"
"75","4","cat litter tray(75)"
"75","6","diarrhoea(75)"
"75","9","dog toothpast(75)"
"75","2","heat dog bed(75)"
"75","4","pedigre puppi(75)"
"75","9","puppi shampoo(75)"
"75","15","royal canin cocker(75)"
"75","8","royal canin mini junior(75)"
"75","14","santa(75)"
"75","4","tick(75)"
"74","7","anti bark(74)"
"74","6","box(74)"
"74","10","cat christma(74)"
"74","2","dog pant(74)"
"74","11","extend dog lead(74)"
"74","4","gerbilarium(74)"
"74","5","labrador(74)"
"74","5","pedigre dentastix(74)"
"74","5","snuggl(74)"
"73","3","car safeti har(73)"
"73","6","dog ball(73)"
"73","6","dog bandana(73)"
"73","2","feeder(73)"
"73","4","nappi(73)"
"73","12","pedigre chum(73)"
"73","7","puppi collar(73)"
"73","11","royal canin sensit(73)"
"73","10","vitakraft(73)"
"72","1","ancol leather(72)"
"72","5","cat box(72)"
"72","1","cat flap staywel(72)"
"72","2","extern filter(72)"
"72","0","indoor rabbit home(72)"
"72","4","led(72)"
"72","3","low fat dog food(72)"
"72","13","pedigre puppi food(72)"
"72","0","pump(72)"
"72","8","waterproof dog bed(72)"
"71","3","ancol(71)"
"71","1","aqua nano(71)"
"71","5","cat carrier(71)"
"71","4","cat igloo(71)"
"71","5","dog ramp(71)"
"71","5","eye(71)"
"71","1","fish filter(71)"
"71","1","gate(71)"
"71","8","pet head(71)"
"71","1","rabbit har(71)"
"71","2","tetra(71)"
"71","13","wellbelov(71)"
"71","18","wild bird seed(71)"
"70","0","betta(70)"
"70","4","birthday(70)"
"70","6","carefresh anim bed(70)"
"70","2","collar light(70)"
"70","3","dog food contain(70)"
"70","9","felix kitten(70)"
"70","4","firework(70)"
"70","1","fish tank gravel(70)"
"70","2","fish tank light(70)"
"70","4","frozen(70)"
"70","4","kong toy(70)"
"70","10","natur menu cat(70)"
"70","6","spongebob(70)"
"70","11","wood cat litter(70)"
"69","2","advantag flea(69)"
"69","1","book(69)"
"69","1","car guard(69)"
"69","2","dog basket(69)"
"69","1","dog jacket(69)"
"69","3","dog mattress(69)"
"69","3","dog ramp car(69)"
"69","6","grass(69)"
"69","4","light(69)"
"69","0","stick insect(69)"
"69","10","stock(69)"
"178","6","thornit(69); ear cleaner(106); ear cleaner(3)"
"68","5","aspen(68)"
"68","10","bandana dog(68)"
"68","2","bob martin flea clear spot on(68)"
"68","5","car har dog(68)"
"68","10","dachshund(68)"
"68","18","dental care(68)"
"68","5","guinea pig toy(68)"
"68","4","iam adult(68)"
"68","16","royal canin bulldog(68)"
"68","16","royal canin gastro(68)"
"68","15","train treat(68)"
"67","11","bird seed(67)"
"67","10","bob martin(67)"
"67","4","cricket(67)"
"67","2","dog bed cover(67)"
"67","10","frolic(67)"
"67","3","hamster hous(67)"
"67","6","iam dog(67)"
"67","1","pet bed(67)"
"67","18","pig ear dog(67)"
"67","9","probiot dog(67)"
"67","14","urinari(67)"
"67","9","wet cat food(67)"
"67","2","whistl(67)"
"66","2","cat wormer(66)"
"66","11","coachi(66)"
"66","6","dog mat(66)"
"66","9","fishmong dog(66)"
"66","3","gravel cleaner(66)"
"66","1","head collar(66)"
"66","13","rawhid dog(66)"
"66","27","royal canin satieti(66)"
"66","8","scruff(66)"
"66","10","senior cat food(66)"
"66","0","vet(66)"
"66","4","wild bird food(66)"
"65","4","anxieti dog(65)"
"65","3","car seat cover(65)"
"65","12","christma tree(65)"
"65","5","filter spong(65)"
"65","3","guinea pig hutch(65)"
"65","0","indoor rabbit cage(65)"
"65","4","rabbit toy(65)"
"65","11","rope(65)"
"65","8","stand(65)"
"64","0","background(64)"
"64","6","chew(64)"
"64","2","dog cone(64)"
"64","10","glow ball(64)"
"64","24","satieti(64)"
"63","6","dog mixer(63)"
"63","9","dog wipe(63)"
"63","3","dri puppi food(63)"
"63","11","frozen dog food(63)"
"63","8","gourmet gold(63)"
"63","4","jame(63)"
"63","5","squirrel(63)"
"63","2","thunder(63)"
"62","7","burn chicken(62)"
"62","1","calm dog(62)"
"62","4","christma collar(62)"
"62","6","dri shampoo(62)"
"62","0","indoor cage(62)"
"62","3","larg dog bed(62)"
"62","9","light up collar(62)"
"62","2","purina ha(62)"
"62","3","water(62)"
"61","4","bulldog(61)"
"61","0","dog bath(61)"
"61","16","dreami cat treat(61)"
"61","0","exercis wheel(61)"
"61","5","fluval u2(61)"
"61","3","food bowl(61)"
"61","3","hors(61)"
"61","1","igloo bed(61)"
"61","1","marina(61)"
"61","12","meow head(61)"
"61","6","pro kolin(61)"
"61","7","pro plan puppi(61)"
"61","4","red dingo(61)"
"61","22","royal canin dental(61)"
"61","4","waterproof dog raincoat(61)"
"60","4","antibacteri(60)"
"60","20","arden grang adult(60)"
"60","9","cat stock(60)"
"60","4","chappi dog(60)"
"60","8","chew(60)"
"60","4","curver(60)"
"60","8","cushion(60)"
"60","18","dental dog(60)"
"60","10","dog gravi(60)"
"60","2","dog muzzl(60)"
"60","4","dog treat(60)"
"60","14","guinea pig nugget(60)"
"60","12","kong ball(60)"
"60","2","plug in(60)"
"60","2","puppi toy(60)"
"60","13","pure(60)"
"60","6","reflect dog(60)"
"60","9","rope toy(60)"
"60","21","royal canin obes(60)"
"60","4","shih tzu(60)"
"60","2","snuggl safe(60)"
"152","11","stop bark(60); anti bark(74); anti bark(17); anti bark(1)"
"60","5","storag contain(60)"
"60","8","stress(60)"
"59","11","bluebel hutch cover(59)"
"59","1","degu cage(59)"
"59","3","dog bag(59)"
"59","12","dog chew(59)"
"59","2","dog igloo(59)"
"59","1","guinea pig cage(59)"
"59","0","hous(59)"
"59","4","lili(59)"
"59","3","poppi den(59)"
"59","19","royal canin neuter(59)"
"59","9","wainwright wainwright(59)"
"58","7","bark(58)"
"58","5","cake(58)"
"58","13","chocol(58)"
"58","4","dog calendar(58)"
"58","5","dog coat pet(58)"
"58","6","dog cushion(58)"
"58","8","dog stock christma(58)"
"58","11","dog stock(58)"
"58","2","dog towel(58)"
"58","8","fish oil(58)"
"58","23","hill zd(58)"
"58","1","id tag(58)"
"58","0","lizard(58)"
"58","9","mealworm(58)"
"58","9","milk(58)"
"58","13","okoplus(58)"
"58","1","petsaf(58)"
"58","13","sheba pouch(58)"
"58","20","smartbon(58)"
"58","0","snail(58)"
"58","0","spider(58)"
"58","8","tortois food(58)"
"57","6","as good as it look(57)"
"57","11","autarki(57)"
"57","10","bluebel hutch(57)"
"57","11","burn puppi(57)"
"57","5","car boot protector(57)"
"57","0","christma rabbit(57)"
"57","3","christma xmas(57)"
"57","3","dog travel(57)"
"57","3","door mat(57)"
"57","13","hay rabbit(57)"
